Neighborhood	Group	2010-01	2010-04	2010-07	2010-10	2011-01	2011-04	2011-07	2011-10	2012-01	2012-04	2012-07	2012-10	2013-01	2013-04	2013-07	2013-10	2014-01	2014-04	2014-07	2014-10
Bay Village	suburb	1.0	1.09096278795	1.10218546958	1.11695215594	1.18074424099	1.25221500295	1.30537507383	1.42646190195	1.41464855286	1.47548730065	1.29710572947	1.41464855286	1.25457767277	1.31896042528	1.31187241583	1.32663910219	1.24571766096	1.34494979327	1.45953927939	1.39043118724
Beachwood	suburb	1.0	1.05548216645	0.939233817701	1.16578599736	1.30911492734	1.35865257596	1.51321003963	1.59048877147	1.59379128137	1.72060766182	1.71003963012	1.75429326288	1.49801849406	1.66908850727	1.51981505945	1.52575957728	1.55614266843	1.42998678996	1.38044914135	1.34214002642
Bedford	suburb	1.0	1.01110879678	0.943692286329	1.11358744706	1.16954801083	1.19093244463	1.17808789835	1.16684024162	1.18683607582	1.13337499132	1.16253558286	1.20891480941	1.19405679372	1.25383600639	1.24460181907	1.23536763174	1.22231479553	1.18510032632	1.19607026314	1.25682149552
Bedford Heights	suburb	1.0	1.02482250574	0.951369241446	1.08439651951	1.15363262692	1.16361501094	1.17909571345	1.23648107618	1.24721080446	1.28575241552	1.2692574601	1.28927560989	1.29493407356	1.29493407356	1.28890193776	1.25633908077	1.25628569903	1.20114236908	1.17653339027	1.19110660332
Bellaire-Puritas	city	1.0	1.02877023953	1.00625585441	1.08507292921	1.13184129533	1.11367589991	1.11190285026	1.12123645122	1.14294794594	1.13532048709	1.14067308979	1.13150675766	1.0986217048	1.16526160846	1.19296132745	1.19911682055	1.20891877425	1.22156429814	1.23835808912	1.27224675498
Berea	suburb	1.0	1.05489792417	0.99828443987	1.10430605593	1.13226968605	1.19334362669	1.18613827415	1.19162806656	1.20329387545	1.23297306571	1.21324412421	1.19711785898	1.24292331446	1.25904957969	1.31017327157	1.28598387373	1.26162291988	1.22937038943	1.22662549322	1.22937038943
Brecksville	suburb	1.0	1.07651912978	1.0	1.14778694674	1.19504876219	1.22205551388	1.14028507127	1.16729182296	1.15753938485	1.06451612903	1.17404351088	1.19579894974	1.02250562641	1.39759939985	1.29407351838	1.28882220555	1.42910727682	1.35333833458	1.30457614404	1.29407351838
Broadview Heights	suburb	1.0	1.05243227498	0.968540635013	1.15467521119	1.24759685406	1.23448878532	1.18118263909	1.10894261579	1.1214681037	1.07806583163	1.05330614623	1.12729391203	1.05942324498	1.18060005826	1.2289542674	1.23332362365	1.17652199243	1.1919603845	1.22400233032	1.18351296242
Broadway-Slavic Village	city	1.0	1.01031316537	0.956640347764	1.04981369766	1.11690471966	1.11324520937	1.1067246274	1.09355039035	1.14915276792	1.13294002839	1.12595369056	1.12755056778	1.18246540099	1.20723917672	1.20196061036	1.18301987225	1.20570883605	1.1648110362	1.17454755145	1.18381831086
Brook Park	suburb	1.0	1.06071779744	1.02876106195	1.17146017699	1.267453294	1.28097345133	1.28933136676	1.33075221239	1.34636184857	1.34771386431	1.38286627335	1.41285644051	1.36836283186	1.43006391347	1.44124877089	1.44985250737	1.409906588	1.41986234022	1.35570304818	1.35840707965
Brooklyn	suburb	1.0	1.05112863748	0.988577644819	1.16145408395	1.20551173964	1.2600852144	1.23234520896	1.27232345209	1.2868280301	1.31701568307	1.33587163448	1.35463693228	1.36515275134	1.43967002085	1.43722237331	1.44139243949	1.40286465416	1.39869458798	1.45127368326	1.47928564953
Brooklyn Centre	city	1.0	1.02637567703	0.976150380046	1.09105184106	1.13442719949	1.15010695917	1.15267853079	1.15732101406	1.16433025352	1.18128442037	1.18233125484	1.19198033772	1.22422739065	1.24750807883	1.26867234081	1.24566473988	1.21576168586	1.17525374357	1.19430157935	1.16960994038
Buckeye-Shaker Square	city	1.0	1.02806945302	0.982396541075	1.11831720541	1.18608880653	1.1755884977	1.17503946194	1.20365795072	1.26611076796	1.27458650745	1.24655136916	1.26902752042	1.29006245282	1.33851485828	1.34211790543	1.36651568183	1.41589458513	1.37766797063	1.36057923272	1.3615400453
Buckeye-Woodhill	city	1.0	1.01808291406	0.960251007185	1.06423704584	1.12758294191	1.13510201808	1.14232404433	1.13047917866	1.19521749624	1.14956463621	1.129142454	1.09130572007	1.11454987654	1.13610456157	1.13016356311	1.17702318846	1.22163637376	1.17156489613	1.18229582459	1.18847817611
Central	city	1.0	1.01357659798	0.94275178167	1.03332688802	1.03701452958	1.03778796752	1.03868570797	1.03234627921	1.03128280206	1.02821667311	1.02997071985	1.03842329153	0.910764598641	0.983384895862	0.970526490249	0.960471797138	0.942461742445	0.914466051599	0.917863653942	0.91573669963
Clark-Fulton	city	1.0	1.03234997674	0.969258799814	1.07130950535	1.14287098775	1.14940300822	1.14310358195	1.15056597922	1.15932702745	1.15405489223	1.13056287797	1.15021708792	1.16762288727	1.20353930842	1.16539385951	1.16884400682	1.18929291363	1.14461544425	1.14663126066	1.12114281284
